,,,,,,,,,,,,,,,,,,,,,,,,,,
自動,自動,買受・委託,自動,,手動,自動,,手動,,,,,自動,売却,自動,ebay,自動,,,,,,,,,手動
受入れ,,,,,,,,,,,,,払出し,,,,,,,,,,,,,
仕入れ年月日,SKU,区別,取引した古物,,,,,確認方法 取引ID,取引きの相手方,,,,販売年月日,区別,代価,販売先,確認方法 取引ID,取引きの相手方,,,,,,,,
,,,品目,商品名,数量,代価,区分,,住所,氏名,年齢,職業,,,,,,国名,buyer ID,氏名,市,州,郵便番号,送付先住所,address2,address3
2026/1/27,20260106_koyanagi_03,買受,プラモデル,BANDAI Mobile Suit Gundam MG Gundam Exia Recirculation Color Neon Purple 1/100,1,"¥6,550 ",トレファク,,,,,,2026/1/27,売却,₱72.11,shopee,ORDER0001,シンガポール,buyer_0001,買主サンプル0001,City0001,Region0001,,Address line 1 sample 0001,,
2026/2/2,20260105_koyanagi_02,買受,フィギュア,"BANPRESTO Shun Mizushino Sung Jin-Woo ""Solo Leveling"" ESPRESTO -Excite Motions-vol.1 Figure",1,"¥7,500 ",yahooフリマ,本人確認済み,,,,,2026/1/31,売却,₱63.01,shopee,ORDER0002,シンガポール,buyer_0002,買主サンプル0002,City0002,Region0002,Postal0002,Address line 1 sample 0002,,
2026/3/2,20260223_machida_15,買受,ぬいぐるみ,MORIPiLO Sanrio Hugging Pillow (Cinnamoroll Sleepy Pillow) M Approximately 45cm,1,"¥3,850 ",Amazon,,,,,,2026/2/27,売却,₱50.03,shopee,ORDER0003,シンガポール,buyer_0003,買主サンプル0003,City0003,,,Address line 1 sample 0003,Address line 2 sample 0003,
有在庫,20260213_koyanagi_09,委託,ゲームソフト,Nintendo Gameboy Advance Pokémon Ruby Japanese No Package,1,¥0 ,,,,,,,2026/3/2,売却,₱8.09,shopee,ORDER0004,シンガポール,buyer_0004,買主サンプル0004,City0004,,,Address line 1 sample 0004,Address line 2 sample 0004,
有在庫,20260212_machida_18,委託,,Nintendo DS software “GAME & WATCH COLLECTION” Japanese No Package,1,¥0 ,,,,,,,2026/3/2,売却,₱8.10,shopee,ORDER0004,シンガポール,buyer_0004,買主サンプル0005,City0005,,,Address line 1 sample 0005,Address line 2 sample 0005,
2026/3/9,20260116_miyawaki_03,買受,フィギュア,Ichiban Kuji JoJo's Bizarre Adventure Stardust Crusaders DIO MASTERLISE Prize C Anime Figure,1,"¥6,300 ",トレファク,,,,,,2026/3/3,売却,"₱3,361.00",shopee,ORDER0005,フィリピン,buyer_0005,買主サンプル0006,City0006,Region0006,Postal0006,Address line 1 sample 0006,Address line 2 sample 0006,
2026/3/4,20260302_ishida_02,買受,フィギュア,S.H.Figuarts Funeral of Freiren Freiren (Resale Version) Approximately 140mm PVC & ABS Painted Movable Figure TAMASHII NATIONS,1,"¥7,700 ",Amazon,,,,,,2026/3/4,売却,"₱3,747.00",shopee,ORDER0006,フィリピン,buyer_0006,買主サンプル0007,City0007,Region0007,Postal0007,Address line 1 sample 0007,Address line 2 sample 0007,
2026/3/6,20260219_machida_01,買受,楽器,training pad 12 inches with stand TS12S,1,"¥13,800 ",SOUND HOUSE,,,,,,2026/3/5,売却,SDG194.18,shopee,ORDER0007,シンガポール,buyer_0007,買主サンプル0008,City0008,Region0008,Postal0008,Address line 1 sample 0008,,
2026/3/9,20260123_machida_04,買受,ラジコン,Tamiya 1/10 Electric RC Car Series No.242 Wild Willy 2 Off-Road 58242,1,"¥11,180 ",Amazon,,,,,,2026/3/9,売却,"₱6,284.00",shopee,ORDER0008,フィリピン,buyer_0008,買主サンプル0009,City0009,Region0009,Postal0009,Address line 1 sample 0009,Address line 2 sample 0009,
